seed_url_id,url,domain,source_group,source_owner,authority_level,allowed_to_crawl,max_depth,max_pages_from_seed,terms_url,crawl_notes,category_id,category_label,source_publisher,allowed_domains,allowed_path_prefixes,jurisdiction,language,student_type,risk_level,crawl_enabled,licence_or_terms
mcgill-iss,https://www.mcgill.ca/internationalstudents/,www.mcgill.ca,mcgill,International Student Services,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,immigration_status,Immigration and legal status,McGill University,www.mcgill.ca,/internationalstudents,mcgill,en,international_student,high_risk,true,allows_non_commercial_or_link_and_paraphrase
mcgill-ihi,https://www.mcgill.ca/internationalstudents/health,www.mcgill.ca,mcgill,International Student Services,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,insurance,Health insurance and coverage,McGill University,www.mcgill.ca,/internationalstudents/health,mcgill,en,international_student,high_risk,true,allows_non_commercial_or_link_and_paraphrase
mcgill-access-care,https://www.mcgill.ca/internationalstudents/health/access-healthcare,www.mcgill.ca,mcgill,International Student Services,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,health_care,Healthcare access,McGill University,www.mcgill.ca,/internationalstudents/health,mcgill,en,international_student,high_risk,true,allows_non_commercial_or_link_and_paraphrase
mcgill-wellness-hub,https://www.mcgill.ca/wellness-hub/,www.mcgill.ca,mcgill,Student Wellness Hub,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,mental_health,Mental health and wellbeing,McGill University,www.mcgill.ca,/wellness-hub,mcgill,en,international_student,high_risk,true,allows_non_commercial_or_link_and_paraphrase
mcgill-community-resources,https://www.mcgill.ca/wellness-hub/get-support/find-community-resources,www.mcgill.ca,mcgill,Student Wellness Hub,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,mental_health,Mental health and wellbeing,McGill University,www.mcgill.ca,/wellness-hub/get-support,mcgill,en,international_student,high_risk,true,allows_non_commercial_or_link_and_paraphrase
mcgill-student-aid,https://www.mcgill.ca/studentaid/,www.mcgill.ca,mcgill,Scholarships and Student Aid,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,finances,Financial aid and affordability,McGill University,www.mcgill.ca,/studentaid,mcgill,en,international_student,high_risk,true,allows_non_commercial_or_link_and_paraphrase
mcgill-international-funding,https://www.mcgill.ca/studentaid/scholarships-aid/international-students,www.mcgill.ca,mcgill,Scholarships and Student Aid,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,finances,Financial aid and affordability,McGill University,www.mcgill.ca,/studentaid,mcgill,en,international_student,high_risk,true,allows_non_commercial_or_link_and_paraphrase
mcgill-caps,https://www.mcgill.ca/caps/,www.mcgill.ca,mcgill,Career Planning Service,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,work_career,Work and career support,McGill University,www.mcgill.ca,/caps,mcgill,en,international_student,normal,true,allows_non_commercial_or_link_and_paraphrase
mcgill-work,https://www.mcgill.ca/internationalstudents/work,www.mcgill.ca,mcgill,International Student Services,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,work_career,Work and career support,McGill University,www.mcgill.ca,/internationalstudents/work,mcgill,en,international_student,high_risk,true,allows_non_commercial_or_link_and_paraphrase
mcgill-cle,https://www.mcgill.ca/cle/,www.mcgill.ca,mcgill,School of Continuing Studies,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,language_integration,Language and integration,McGill University,www.mcgill.ca,/cle,mcgill,en,international_student,normal,true,allows_non_commercial_or_link_and_paraphrase
mcgill-service-point,https://www.mcgill.ca/servicepoint/,www.mcgill.ca,mcgill,Service Point,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,documents_admin,Campus documents and administration,McGill University,www.mcgill.ca,/servicepoint,mcgill,en,international_student,normal,true,allows_non_commercial_or_link_and_paraphrase
mcgill-offcampus-housing,https://www.mcgill.ca/students/housing/offcampus,www.mcgill.ca,mcgill,Student Housing and Hospitality Services,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,housing,Housing and basic needs,McGill University,www.mcgill.ca,/students/housing,mcgill,en,international_student,normal,true,allows_non_commercial_or_link_and_paraphrase
mcgill-libraries,https://www.mcgill.ca/libraries/,www.mcgill.ca,mcgill,McGill Libraries,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,academics,Academic and advising support,McGill University,www.mcgill.ca,/libraries,mcgill,en,international_student,normal,true,allows_non_commercial_or_link_and_paraphrase
mcgill-academic-advising,https://www.mcgill.ca/academic-advising/,www.mcgill.ca,mcgill,Academic Advising,official_university,true,3,50,https://www.mcgill.ca/copyright/,official HTML source bounded crawl,academics,Academic and advising support,McGill University,www.mcgill.ca,/academic-advising,mcgill,en,international_student,normal,true,allows_non_commercial_or_link_and_paraphrase
quebec-medical-consultation,https://www.quebec.ca/en/health/health-system-and-services/service-organization/primary-care-health-and-social-services/how-get-medical-consultation-with-health-professional,www.quebec.ca,quebec,Gouvernement du Québec,official_provincial,true,3,50,https://www.quebec.ca/en/copyright,official HTML source bounded crawl,health_care,Healthcare access,Gouvernement du Québec,www.quebec.ca,/en/health,quebec,en,newcomer,high_risk,true,allows_non_commercial_or_link_and_paraphrase
quebec-primary-care,https://www.quebec.ca/en/health/health-system-and-services/service-organization/primary-care-health-and-social-services,www.quebec.ca,quebec,Gouvernement du Québec,official_provincial,true,3,50,https://www.quebec.ca/en/copyright,official HTML source bounded crawl,health_care,Healthcare access,Gouvernement du Québec,www.quebec.ca,/en/health,quebec,en,newcomer,high_risk,true,allows_non_commercial_or_link_and_paraphrase
quebec-gamf,https://www.quebec.ca/en/health/finding-a-resource/quebec-family-doctor-finder,www.quebec.ca,quebec,Gouvernement du Québec,official_provincial,true,3,50,https://www.quebec.ca/en/copyright,official HTML source bounded crawl,health_care,Healthcare access,Gouvernement du Québec,www.quebec.ca,/en/health,quebec,en,newcomer,high_risk,true,allows_non_commercial_or_link_and_paraphrase
quebec-family-doctor-list,https://www.quebec.ca/en/health/finding-a-resource/registering-with-a-family-doctor,www.quebec.ca,quebec,Gouvernement du Québec,official_provincial,true,3,50,https://www.quebec.ca/en/copyright,official HTML source bounded crawl,health_care,Healthcare access,Gouvernement du Québec,www.quebec.ca,/en/health,quebec,en,newcomer,high_risk,true,allows_non_commercial_or_link_and_paraphrase
quebec-housing,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,www.quebec.ca,quebec,Gouvernement du Québec,official_provincial,true,3,50,https://www.quebec.ca/en/copyright,official HTML source bounded crawl,housing,Housing and basic needs,Gouvernement du Québec,www.quebec.ca,/en/immigration/settle-and-integrate-in-quebec,quebec,en,newcomer,normal,true,allows_non_commercial_or_link_and_paraphrase
cra-students,https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/students.html,www.canada.ca,canada,Canada Revenue Agency,official_federal,true,3,50,https://www.canada.ca/en/transparency/terms.html,official HTML source bounded crawl,tax,Tax filing and residency information,Canada Revenue Agency,www.canada.ca,/en/revenue-agency/services/tax,canada,en,international_student,high_risk,true,allows_non_commercial_or_link_and_paraphrase
cra-newcomers,https://www.canada.ca/en/revenue-agency/services/tax/international-non-residents/individuals-leaving-entering-canada-non-residents/newcomers-canada-immigrants.html,www.canada.ca,canada,Canada Revenue Agency,official_federal,true,3,50,https://www.canada.ca/en/transparency/terms.html,official HTML source bounded crawl,tax,Tax filing and residency information,Canada Revenue Agency,www.canada.ca,/en/revenue-agency/services/tax,canada,en,newcomer,high_risk,true,allows_non_commercial_or_link_and_paraphrase
