record_id,service_name,category_id,category_label,student_need,intended_users,access_method,recommended_next_step,limitations,official_source_url,source_name,source_publisher,source_license_or_terms,source_retrieved_at,source_record_id,last_verified_date,review_status
candidate-0740a11ecb8225443bbc,Who has to file a return,tax,Tax filing and residency information,Tax filing and residency information: Who has to file a return.,Students and newcomer students who need official federal tax information.,Students,Review the official Canada Revenue Agency source page for Who has to file a return.,"The navigator does not determine tax residency, filing obligations, credits, or benefits; confirm with official CRA guidance or a qualified tax professional.",https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/you-have-file-a-return.html,Students,Canada Revenue Agency,https://www.canada.ca/en/transparency/terms.html,2026-06-12T18:41:25+00:00,0740a11ecb8225443bbc,2026-06-19,curated_for_directory_milestone
candidate-154da72971f58f32523f,McGill Scholarships & Awards,finances,Financial aid and affordability,Financial aid and affordability: McGill Scholarships & Awards.,"McGill newcomer, international, exchange, and current students as applicable.",McGill Scholarships & Awards,Review the official McGill University source page for McGill Scholarships & Awards.,The navigator does not determine financial-aid eligibility or award amounts; confirm requirements with the official funding office.,https://www.mcgill.ca/studentaid/scholarships-aid/international-students,International student funding,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:01+00:00,154da72971f58f32523f,2026-06-19,curated_for_directory_milestone
candidate-192ad052bc88412b5a17,Free tax clinics,tax,Tax filing and residency information,Tax filing and residency information: Free tax clinics.,Students and newcomer students who need official federal tax information.,Students,Review the official Canada Revenue Agency source page for Free tax clinics.,"The navigator does not determine tax residency, filing obligations, credits, or benefits; confirm with official CRA guidance or a qualified tax professional.",https://www.canada.ca/en/revenue-agency/services/tax/individuals/community-volunteer-income-tax-program.html,Students,Canada Revenue Agency,https://www.canada.ca/en/transparency/terms.html,2026-06-12T18:41:25+00:00,192ad052bc88412b5a17,2026-06-19,curated_for_directory_milestone
candidate-1b8c17a5203faa81354f,Career Planning Service - Downtown Campus,work_career,Work and career support,Work and career support: Career Planning Service - Downtown Campus.,"McGill newcomer, international, exchange, and current students as applicable.",Career Planning Service - Downtown Campus,Review the official McGill University source page for Career Planning Service - Downtown Campus.,The navigator does not determine work authorization or job eligibility; confirm requirements with official McGill or government sources.,https://www.mcgill.ca/caps/,Career Planning Service (CaPS),McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:01+00:00,1b8c17a5203faa81354f,2026-06-19,curated_for_directory_milestone
candidate-30b0f7f451ef84b1e928,Access HealthCare,insurance,Health insurance and coverage,Health insurance and coverage: Access HealthCare.,"McGill newcomer, international, exchange, and current students as applicable.",Access HealthCare,Review the official McGill University source page for Access HealthCare.,"Coverage, exemptions, claims, and costs must be confirmed through the official insurance source.",https://www.mcgill.ca/internationalstudents/health,Compulsory International Health Insurance (IHI) | International Student Services - McGill University,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:00+00:00,30b0f7f451ef84b1e928,2026-06-19,curated_for_directory_milestone
candidate-417489258b2dd44482f7,2SLGBTQIA+ Students,mental_health,Mental health and wellbeing,Mental health and wellbeing: 2SLGBTQIA+ Students.,"McGill newcomer, international, exchange, and current students as applicable.",Sexual Violence,Review the official McGill University source page for 2SLGBTQIA+ Students.,This record is not medical or crisis advice; for urgent safety concerns call 911 or use official urgent-support resources.,https://www.mcgill.ca/wellness-hub/get-support/find-community-resources,Community Resources | Student Wellness Hub - McGill University,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:01+00:00,417489258b2dd44482f7,2026-06-19,curated_for_directory_milestone
candidate-4d483ab7c367b2e79e10,Determining your residency status,tax,Tax filing and residency information,Tax filing and residency information: Determining your residency status.,Students and newcomer students who need official federal tax information.,Taxes for International students studying in Canada,Review the official Canada Revenue Agency source page for Determining your residency status.,"The navigator does not determine tax residency, filing obligations, credits, or benefits; confirm with official CRA guidance or a qualified tax professional.",https://www.canada.ca/en/revenue-agency/services/tax/international-non-residents/information-been-moved/determining-your-residency-status.html,Taxes for International students studying in Canada,Canada Revenue Agency,https://www.canada.ca/en/transparency/terms.html,2026-06-12T18:41:26+00:00,4d483ab7c367b2e79e10,2026-06-19,curated_for_directory_milestone
candidate-520ef51803b58f6f9602,Activate your Coverage,insurance,Health insurance and coverage,Health insurance and coverage: Activate your Coverage.,"McGill newcomer, international, exchange, and current students as applicable.",Activate your Coverage,Review the official McGill University source page for Activate your Coverage.,"Coverage, exemptions, claims, and costs must be confirmed through the official insurance source.",https://www.mcgill.ca/internationalstudents/health,Compulsory International Health Insurance (IHI) | International Student Services - McGill University,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:00+00:00,520ef51803b58f6f9602,2026-06-19,curated_for_directory_milestone
candidate-6dbee08280a519a0dd2b,Québec Family Doctor Finder (GAMF),health_care,Healthcare access,Healthcare access: Québec Family Doctor Finder (GAMF).,Newcomer students in Quebec who need official public healthcare access information.,Registering with a family doctor or a specialized nurse practitioner in primary care,Review the official Gouvernement du Québec source page for Québec Family Doctor Finder (GAMF).,"The navigator does not diagnose, triage symptoms, or confirm service availability; for emergencies call 911 or go to an emergency department.",https://www.quebec.ca/en/health/finding-a-resource/quebec-family-doctor-finder,Registering with a family doctor or a specialized nurse practitioner in primary care,Gouvernement du Québec,https://www.quebec.ca/en/copyright,2026-06-12T18:41:26+00:00,6dbee08280a519a0dd2b,2026-06-19,curated_for_directory_milestone
candidate-753e73fc1ceab0638250,Career Planning Service - Macdonald Campus,work_career,Work and career support,Work and career support: Career Planning Service - Macdonald Campus.,"McGill newcomer, international, exchange, and current students as applicable.",Career Planning Service - Macdonald Campus,Review the official McGill University source page for Career Planning Service - Macdonald Campus.,The navigator does not determine work authorization or job eligibility; confirm requirements with official McGill or government sources.,https://www.mcgill.ca/caps/,Career Planning Service (CaPS),McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:01+00:00,753e73fc1ceab0638250,2026-06-19,curated_for_directory_milestone
