source_id,scope_status,organization,category,url,final_url,http_status,content_type,page_title,sample_type,parsed_sample,parsed_sample_chars,headings_found,links_found,parseable,retrieved_at,error
mcgill-iss,approved,McGill University,immigration,https://www.mcgill.ca/internationalstudents/,https://www.mcgill.ca/internationalstudents/,200,text/html,International Student Services - McGill University,paragraph_or_list,"ISS is open Mondays to Fridays, 10am - 4pm both in-person and virtually.",72,9,64,true,2026-06-12T18:41:41+00:00,
mcgill-iss-health,approved,McGill University,health_insurance,https://www.mcgill.ca/internationalstudents/health,https://www.mcgill.ca/internationalstudents/health,200,text/html,Compulsory International Health Insurance (IHI) | International Student Services - McGill University,paragraph_or_list,"ISS is open Mondays to Fridays, 10am - 4pm both in-person and virtually.",72,10,60,true,2026-06-12T18:41:42+00:00,
mcgill-iss-access-care,approved,McGill University,healthcare,https://www.mcgill.ca/internationalstudents/health/access-healthcare,https://www.mcgill.ca/internationalstudents/health/access-healthcare,200,text/html,Access Health & Wellness Care - McGill University,paragraph_or_list,"If you are experiencing an emergency , a life-or limb-threatening situations or immediate safety concerns, call 911 or Go to the nearest hospital emergency department. You may also consult the Student Wellness Hub’s urgent care page to find an appropriate resource.",265,13,69,true,2026-06-12T18:41:42+00:00,
mcgill-wellness,approved,McGill University,wellness,https://www.mcgill.ca/wellness-hub/,https://www.mcgill.ca/wellness-hub/,200,text/html,Student Wellness Hub - McGill University,paragraph_or_list,Get Support Physical Health Support Mental Health Support Nutritional Support Supporting Someone Else Telehealth Find Community Resources Resources Available 24/7 Gender Affirming Care,184,5,60,true,2026-06-12T18:41:42+00:00,
mcgill-community-health,approved,McGill University,wellness,https://www.mcgill.ca/wellness-hub/get-support/find-community-resources,https://www.mcgill.ca/wellness-hub/get-support/find-community-resources,200,text/html,Community Resources | Student Wellness Hub - McGill University,paragraph_or_list,"There are many resources available to students in the broader health and social services community in Montreal and Quebec. Some are at no-cost, but many do have out-of-pocket fees or require you to submit claims to your health insurance.",237,37,268,true,2026-06-12T18:41:42+00:00,
mcgill-studentaid,approved,McGill University,financial_aid,https://www.mcgill.ca/studentaid/,https://www.mcgill.ca/studentaid/,200,text/html,Scholarships and Student Aid - McGill University,paragraph_or_list,"Find all the resources and advice you need to help pay for university, from step-by-step guides on how to apply for funding to information on how to budget effectively. Not sure where to start? These areas are a good bet (or you can click on our full directory drop-down list below ):",284,8,73,true,2026-06-12T18:41:43+00:00,
mcgill-international-funding,approved,McGill University,financial_aid,https://www.mcgill.ca/studentaid/scholarships-aid/international-students,https://www.mcgill.ca/studentaid/scholarships-aid/international-students,200,text/html,International Student Funding - McGill University,paragraph_or_list,McGill recognises the challenges International students can face when studying away from home. Scholarships and Student Aid is committed to ensuring that qualified students from any geographic region are financially supported in their goals to enter and complete academic programs at the University. This page points to the various funding opportunities that will help support these goals.,389,7,58,true,2026-06-12T18:41:43+00:00,
mcgill-servicepoint,approved,McGill University,administration,https://www.mcgill.ca/servicepoint/,https://www.mcgill.ca/servicepoint/,200,text/html,Service Point - McGill University,paragraph_or_list,Column 1 Future Students Undergraduate Programs How to apply When will I receive a decision? Grad Studies Applying to a graduate program Graduate Funding Graduate Program Contacts,179,9,56,true,2026-06-12T18:41:43+00:00,
mcgill-caps,approved,McGill University,employment,https://www.mcgill.ca/caps/,https://www.mcgill.ca/caps/,200,text/html,Career Planning Service - McGill University,paragraph_or_list,"The Career Planning Service (CaPS), McGill’s central career services, supports student career and leadership development through career counselling and advising, skills development workshops, experiential learning, career exploration programs, mentoring, and career and networking events. CaPS provides and oversees a wide variety of resources and tools to help students search for part-time and summer jobs, internships and post-graduation opportunities, including the myFuture platform, and the Student Experience Record , with the goal of helping students become career-ready now and for their fut",600,8,59,true,2026-06-12T18:41:43+00:00,
mcgill-iss-work,approved,McGill University,employment,https://www.mcgill.ca/internationalstudents/work,https://www.mcgill.ca/internationalstudents/work,200,text/html,Work | International Student Services - McGill University,paragraph_or_list,"As a full-time International McGill student, you can work both on campus and off-campus, but it's important to ensure that you have the right documents to do so legally.",169,11,59,true,2026-06-12T18:41:43+00:00,
mcgill-cle,approved,McGill University,community,https://www.mcgill.ca/cle/,https://www.mcgill.ca/cle/,200,text/html,Campus Life & Engagement - McGill University,paragraph_or_list,"Campus Life & Engagement fosters, in collaboration with partners across McGill and the greater Montreal communities, a vibrant, engaging and inclusive McGill community, where we help every student find inspiration, a sense of belonging, and opportunities to lead, connect, and grow.",282,4,33,true,2026-06-12T18:41:43+00:00,
cra-students,approved,Canada Revenue Agency,tax,https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/students.html,https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/students.html,200,text/html,Students - Canada.ca,paragraph_or_list,"Topics/services specifically for students. For topics of interest to everyone, see Income tax .",95,15,75,true,2026-06-12T18:41:43+00:00,
cra-international-students,approved,Canada Revenue Agency,tax,https://www.canada.ca/en/revenue-agency/services/tax/international-non-residents/individuals-leaving-entering-canada-non-residents/international-students-studying-canada.html,https://www.canada.ca/en/revenue-agency/services/tax/international-non-residents/individuals-leaving-entering-canada-non-residents/international-students-studying-canada.html,200,text/html,Taxes for International students studying in Canada - Canada.ca,paragraph_or_list,"If you are an international student studying in Canada, you may have to file a Canadian income tax return. You must determine your residency status to know how you will be taxed in Canada.",188,21,70,true,2026-06-12T18:41:44+00:00,
quebec-partners,approved,Gouvernement du Québec,settlement,https://www.quebec.ca/en/immigration/partners,https://www.quebec.ca/en/immigration/partners,200,text/html,Integration support services offered by partner community organizations | Gouvernement du Québec,paragraph_or_list,"About a hundred community organizations offer support to newcomers in their integration process in Quebec. This may include, for example, assistance in finding housing, support in the settlement process, information on obtaining essential documents or personalized, adapted and sustained support to develop independence.",320,9,82,true,2026-06-12T18:41:44+00:00,
quebec-settle,approved,Gouvernement du Québec,settlement,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,200,text/html,Settle and integrate in Québec | Gouvernement du Québec,paragraph_or_list,This page is intended for immigrants selected by Québec. It brings together information and advice to ease your settlement and successfully integrate into Québec.,162,18,116,true,2026-06-12T18:41:45+00:00,
quebec-accompagnement,approved,Gouvernement du Québec,settlement,https://www.quebec.ca/en/immigration/integration-service-for-immigrants,https://www.quebec.ca/en/immigration/integration-service-for-immigrants,200,text/html,Integration service for immigrants | Gouvernement du Québec,paragraph_or_list,"Since June 1, 2023, public services are provided exclusively in French, with some exceptions. In accordance with the exemplarity of the State, the temporary measures (sunset provisions) will end on December 1, 2025. The proposed provisions will then be applied in full.",269,18,74,true,2026-06-12T18:41:45+00:00,
quebec-family-doctor,approved,Gouvernement du Québec,healthcare,https://www.quebec.ca/en/health/finding-a-resource/registering-with-a-family-doctor,https://www.quebec.ca/en/health/finding-a-resource/registering-with-a-family-doctor,200,text/html,Registering with a family doctor or a specialized nurse practitioner in primary care | Gouvernement du Québec,paragraph_or_list,"Since April 15, 2024, specialized nurse practitioners in primary care who work in SNP clinics can directly care for people who do not have a family doctor and who are registered on the Québec Family Doctor Finder.",213,15,58,true,2026-06-12T18:41:45+00:00,
quebec-asylum,approved,Gouvernement du Québec,healthcare,https://www.quebec.ca/en/immigration/refugees-asylum-seekers/asylum-seekers,https://www.quebec.ca/en/immigration/refugees-asylum-seekers/asylum-seekers,200,text/html,Asylum seekers | Gouvernement du Québec,paragraph_or_list,You are entitled to certain services from the Gouvernement du Québec as soon as you have submitted an asylum application with the Government of Canada and you live in Québec.,174,31,200,true,2026-06-12T18:41:46+00:00,
statcan-odhf,approved,Statistics Canada,healthcare,https://www.statcan.gc.ca/en/lode/databases/odhf,https://www.statcan.gc.ca/en/lode/databases/odhf,200,text/html,The Open Database of Healthcare Facilities,paragraph_or_list,"The Open Database of Healthcare Facilities (ODHF) is a collection of open data containing the names, types, and locations of healthcare facilities across Canada. It is released under the Open Government License - Canada .",221,13,66,true,2026-06-12T18:41:46+00:00,
montreal-boundaries,approved,Ville de Montréal,geography,https://donnees.montreal.ca/dataset?q=arrondissement,https://donnees.montreal.ca/dataset?q=arrondissement,200,text/html,Site web des données ouvertes de la Ville de Montréal,paragraph_or_list,Contrats – Conseils d'arrondissement Contrats accordés par les 19 conseils d'arrondissement. Il est à noter que les données peuvent également être visualisées à l'aide d'un API ou de l'outil Vue sur les contrats. 1 2 WEB 1 2 CSV,228,29,85,true,2026-06-12T18:41:47+00:00,
ircc-settlement-outcomes,approved,"Immigration, Refugees and Citizenship Canada",community_evidence,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/settlement-resettlement-service-provider-information/2023-settlement-outcomes-report/2023-settlement-outcomes-report-part1.html,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/settlement-resettlement-service-provider-information/2023-settlement-outcomes-report/2023-settlement-outcomes-report-part1.html,200,text/html,2023 Settlement Outcomes Report: Part 1 - Newcomer Outcomes Stock Take - Canada.ca,paragraph_or_list,"Download: Part 1: Newcomer Outcomes Stock Take (PDF, 5.8 MB)",60,27,140,true,2026-06-12T18:41:48+00:00,
mcgill-student-services,candidate,McGill University,service_directory,https://www.mcgill.ca/studentservices/,https://www.mcgill.ca/studentservices/,200,text/html,Student Services - McGill University,paragraph_or_list,"From navigating university life to planning what comes next, Student Services is here to support you - academically, personally, and professionally. Whether you’re accessing care for your physical and mental health, connecting with spiritual or international communities, exploring career paths, finding financial or learning support, or getting involved in student life, we’re here for you.",391,7,49,true,2026-06-12T18:41:48+00:00,
mcgill-housing,candidate,McGill University,housing,https://www.mcgill.ca/students/housing/,https://www.mcgill.ca/students/housing/,200,text/html,Student Housing - McGill University,paragraph_or_list,"Living on campus offers many benefits beyond the convenience of being just minutes from class. McGill Residences provide a welcoming, supportive environment that helps students thrive academically, socially, and personally.",223,9,32,true,2026-06-12T18:41:48+00:00,
mcgill-dean-students,candidate,McGill University,student_support,https://www.mcgill.ca/deanofstudents/,https://www.mcgill.ca/deanofstudents/,200,text/html,Office of the Dean of Students - McGill University,paragraph_or_list,"Our job is to listen, learn, advise, and support your best McGill experience.",77,12,72,true,2026-06-12T18:41:48+00:00,
mcgill-accessibility,candidate,McGill University,accessibility,https://www.mcgill.ca/access-achieve/,https://www.mcgill.ca/access-achieve/,200,text/html,Student Accessibility & Achievement - McGill University,paragraph_or_list,Empowering students to reach their academic potential by widening access to learning.,85,9,52,true,2026-06-12T18:41:48+00:00,
mcgill-morsl,candidate,McGill University,community,https://www.mcgill.ca/morsl/,https://www.mcgill.ca/morsl/,200,text/html,Office of Religious and Spiritual Life - McGill University,paragraph_or_list,All McGill students can access support and spiritual care from the Office of Religious & Spiritual Life.,104,12,62,true,2026-06-12T18:41:48+00:00,
mcgill-first-peoples,candidate,McGill University,community,https://www.mcgill.ca/fph/,https://www.mcgill.ca/fph/,200,text/html,First Peoples' House - McGill University,paragraph_or_list,"Our team at First Peoples’ House, McGill University is looking for a creative, community‑minded Communications & Publication Coordinator to help elevate Indigenous student voices and support our programming.",207,13,30,true,2026-06-12T18:41:48+00:00,
ramq-health-insurance,candidate,Régie de l'assurance maladie du Québec,health_insurance,https://www.ramq.gouv.qc.ca/en/citizens/health-insurance,https://www.ramq.gouv.qc.ca/en/citizens/health-insurance,200,text/html,Health Insurance | Régie de l’assurance maladie du Québec (RAMQ),paragraph_or_list,"RAMQ administers the Québec Health Insurance Plan. Eligible persons who are registered benefit from various covered health services. Ineligible people can also access theses services, but they must pay for them.",211,10,126,true,2026-06-12T18:41:48+00:00,
ircc-study,candidate,"Immigration, Refugees and Citizenship Canada",immigration,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada.html,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada.html,200,text/html,Study in Canada as an international student - Canada.ca,paragraph_or_list,"Apply to study in Canada as an international student, extend your study permit and find out about working while you study or after you graduate.",144,35,77,true,2026-06-12T18:41:49+00:00,
revenu-quebec-students,candidate,Revenu Québec,tax,https://www.revenuquebec.ca/en/citizens/your-situation/tax-benefits-for-students/,https://www.revenuquebec.ca/en/citizens/your-situation/tax-benefits-for-students/,200,text/html,Tax Benefits for Students | Revenu Québec,paragraph_or_list,"If you are a student or a recent graduate, refer to the pages in this section for information on your tax obligations and the tax benefits you may be entitled to.",162,6,131,true,2026-06-12T18:41:49+00:00,
