record_id,service_name,category_id,category_label,student_need,intended_users,access_method,recommended_next_step,limitations,official_source_url,source_name,source_publisher,source_license_or_terms,source_retrieved_at,source_record_id,last_verified_date,review_status,actionable_summary,actionable_next_step,eligibility_or_requirements,access_steps,costs_or_coverage,contact_or_location,source_evidence_excerpt,extraction_status,content_last_checked_at,source_content_hash
candidate-0740a11ecb8225443bbc,Who has to file a return,tax,Tax filing and residency information,Tax filing and residency information: Who has to file a return.,Students and newcomer students who need official federal tax information.,Students,Review the official Canada Revenue Agency source page for Who has to file a return.,"The navigator does not determine tax residency, filing obligations, credits, or benefits; confirm with official CRA guidance or a qualified tax professional.",https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/you-have-file-a-return.html,Students,Canada Revenue Agency,https://www.canada.ca/en/transparency/terms.html,2026-06-12T18:41:25+00:00,0740a11ecb8225443bbc,2026-06-19,curated_for_directory_milestone,,,,,,,,not_targeted,,
candidate-154da72971f58f32523f,McGill Scholarships & Awards,finances,Financial aid and affordability,Financial aid and affordability: McGill Scholarships & Awards.,"McGill newcomer, international, exchange, and current students as applicable.",McGill Scholarships & Awards,Review the official McGill University source page for McGill Scholarships & Awards.,The navigator does not determine financial-aid eligibility or award amounts; confirm requirements with the official funding office.,https://www.mcgill.ca/studentaid/scholarships-aid/international-students,International student funding,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:01+00:00,154da72971f58f32523f,2026-06-19,curated_for_directory_milestone,McGill recognises the challenges International students can face when studying away from home. Scholarships and Student Aid is committed to ensuring that qualified students from any geographic region are financially supported in their goals to enter and complete academic programs at the University. This page points to the various funding opportunities that will help support these goals.,"Please visit McGill's publications site for various program calendars that provide comprehensive listings and information on awards. Contact: Direct: mailto:scholarships@mcgill.ca, mailto:student.aid@mcgill.ca",,"Please visit McGill's publications site for various program calendars that provide comprehensive listings and information on awards. | Scholarships and Student Aid administers need-based Financial Aid Programs for future and current undergraduates from Canada, US, and abroad. Our programs offer loans and bursaries to students in need of supplemental financial assistance and to those who are experiencing financial hardship. Internat","Scholarships and Student Aid administers need-based Financial Aid Programs for future and current undergraduates from Canada, US, and abroad. Our programs offer loans and bursaries to students in need of supplemental financial assistance and to those who are experiencing financial hardship. Internat | Tuition Payment Deferrals : useful for International students experiencing delays in their funding transfers. International students can initiate a fee deferral by submitting a Fee Deferral application in Minerva.","Direct: mailto:scholarships@mcgill.ca, mailto:student.aid@mcgill.ca",McGill recognises the challenges International students can face when studying away from home. Scholarships and Student Aid is committed to ensuring that qualified students from any geographic region are financially supported in their goals to enter and complete academic programs at the University. ,enriched,2026-06-21T01:44:37+00:00,4aa1184aa76a0767a88a00e46be4ce77e0201d8fa083f4bee1b2744e914e597e
candidate-192ad052bc88412b5a17,Free tax clinics,tax,Tax filing and residency information,Tax filing and residency information: Free tax clinics.,Students and newcomer students who need official federal tax information.,Students,Review the official Canada Revenue Agency source page for Free tax clinics.,"The navigator does not determine tax residency, filing obligations, credits, or benefits; confirm with official CRA guidance or a qualified tax professional.",https://www.canada.ca/en/revenue-agency/services/tax/individuals/community-volunteer-income-tax-program.html,Students,Canada Revenue Agency,https://www.canada.ca/en/transparency/terms.html,2026-06-12T18:41:25+00:00,192ad052bc88412b5a17,2026-06-19,curated_for_directory_milestone,,,,,,,,not_targeted,,
candidate-1b8c17a5203faa81354f,Career Planning Service - Downtown Campus,work_career,Work and career support,Work and career support: Career Planning Service - Downtown Campus.,"McGill newcomer, international, exchange, and current students as applicable.",Career Planning Service - Downtown Campus,Review the official McGill University source page for Career Planning Service - Downtown Campus.,The navigator does not determine work authorization or job eligibility; confirm requirements with official McGill or government sources.,https://www.mcgill.ca/caps/,Career Planning Service (CaPS),McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:01+00:00,1b8c17a5203faa81354f,2026-06-19,curated_for_directory_milestone,"The Career Planning Service (CaPS), McGill’s central career services, supports student career and leadership development through career counselling and advising, skills development workshops, experiential learning, career exploration programs, mentoring, and career and networking events. CaPS provides and oversees a wide variety of resources and tools to help students search for part-time and summ","CaPS offers drop‑in career advising in person and online, providing quick access to an advisor when regular appointments are fully booked. Contact: Direct: mailto:careers.caps@mcgill.ca",,"CaPS offers drop‑in career advising in person and online, providing quick access to an advisor when regular appointments are fully booked. | Drop‑in appointments are offered on a first‑come, first‑served basis until all available time slots are filled.",,Direct: mailto:careers.caps@mcgill.ca,"The Career Planning Service (CaPS), McGill’s central career services, supports student career and leadership development through career counselling and advising, skills development workshops, experiential learning, career exploration programs, mentoring, and career and networking events. CaPS provid",enriched,2026-06-21T01:44:38+00:00,49e76327f451d9d31d258ee356a44ce952cb0b31a466bed6b3d1c1dcd8d160e3
candidate-30b0f7f451ef84b1e928,Access HealthCare,insurance,Health insurance and coverage,Health insurance and coverage: Access HealthCare.,"McGill newcomer, international, exchange, and current students as applicable.",Access HealthCare,Review the official McGill University source page for Access HealthCare.,"Coverage, exemptions, claims, and costs must be confirmed through the official insurance source.",https://www.mcgill.ca/internationalstudents/health,Compulsory International Health Insurance (IHI) | International Student Services - McGill University,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:00+00:00,30b0f7f451ef84b1e928,2026-06-19,curated_for_directory_milestone,Discover who is covered under the International Health Insurance (IHI).,Discover how to activate your international health insurance coverage.,Discover who is covered under the International Health Insurance (IHI).,Discover how to activate your international health insurance coverage. | Discover how to enroll in international health insurance as a non-resident of Canada or as a new permanent resident.,Discover who is covered under the International Health Insurance (IHI). | Discover how to activate your international health insurance coverage.,,Discover who is covered under the International Health Insurance (IHI).,enriched,2026-06-21T01:44:38+00:00,f0ad7a40aa71e300a1c63f8a1e4b814cf1dc0a8fdc6468f32fddbfec2f34db5d
candidate-417489258b2dd44482f7,2SLGBTQIA+ Students,mental_health,Mental health and wellbeing,Mental health and wellbeing: 2SLGBTQIA+ Students.,"McGill newcomer, international, exchange, and current students as applicable.",Sexual Violence,Review the official McGill University source page for 2SLGBTQIA+ Students.,This record is not medical or crisis advice; for urgent safety concerns call 911 or use official urgent-support resources.,https://www.mcgill.ca/wellness-hub/get-support/find-community-resources,Community Resources | Student Wellness Hub - McGill University,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:01+00:00,417489258b2dd44482f7,2026-06-19,curated_for_directory_milestone,Get Support Physical Health Support Mental Health Support Nutritional Support Supporting Someone Else Telehealth Find Community Resources Resources Available 24/7 Gender Affirming Care,"Build Your Wellness Toolkit Visit the Healthy Living Annex Animal Therapy Art Hive Hub Peer Supporters Supporting Student Caregivers Contact: Phone: (514)-244-1290, (514)-337-2473","There are many resources available to students in the broader health and social services community in Montreal and Quebec. Some are at no-cost, but many do have out-of-pocket fees or require you to submit claims to your health insurance. | The information below may be subject to change. Please check with the resource for more details on eligibility, services, and/or costs.",Build Your Wellness Toolkit Visit the Healthy Living Annex Animal Therapy Art Hive Hub Peer Supporters Supporting Student Caregivers | Visit the Healthy Living Annex Animal Therapy Art Hive Hub Peer Supporters Supporting Student Caregivers,Contact Us Online Booking Hub Policies Clinician Transfer Requests Submit Feedback | Online Booking Hub Policies Clinician Transfer Requests Submit Feedback,"Phone: (514)-244-1290, (514)-337-2473 | Direct: tel:514-285-5500, tel:1-514-345-1356, tel:1-514-345-1820",Get Support Physical Health Support Mental Health Support Nutritional Support Supporting Someone Else Telehealth Find Community Resources Resources Available 24/7 Gender Affirming Care,enriched,2026-06-21T01:44:39+00:00,524ae11d7f4875faa08688225fbdfa5ecb39638b3ebe03dae1b388af656eafd4
candidate-4d483ab7c367b2e79e10,Determining your residency status,tax,Tax filing and residency information,Tax filing and residency information: Determining your residency status.,Students and newcomer students who need official federal tax information.,Taxes for International students studying in Canada,Review the official Canada Revenue Agency source page for Determining your residency status.,"The navigator does not determine tax residency, filing obligations, credits, or benefits; confirm with official CRA guidance or a qualified tax professional.",https://www.canada.ca/en/revenue-agency/services/tax/international-non-residents/information-been-moved/determining-your-residency-status.html,Taxes for International students studying in Canada,Canada Revenue Agency,https://www.canada.ca/en/transparency/terms.html,2026-06-12T18:41:26+00:00,4d483ab7c367b2e79e10,2026-06-19,curated_for_directory_milestone,,,,,,,,not_targeted,,
candidate-520ef51803b58f6f9602,Activate your Coverage,insurance,Health insurance and coverage,Health insurance and coverage: Activate your Coverage.,"McGill newcomer, international, exchange, and current students as applicable.",Activate your Coverage,Review the official McGill University source page for Activate your Coverage.,"Coverage, exemptions, claims, and costs must be confirmed through the official insurance source.",https://www.mcgill.ca/internationalstudents/health,Compulsory International Health Insurance (IHI) | International Student Services - McGill University,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:00+00:00,520ef51803b58f6f9602,2026-06-19,curated_for_directory_milestone,Discover who is covered under the International Health Insurance (IHI).,Discover how to activate your international health insurance coverage.,Discover who is covered under the International Health Insurance (IHI).,Discover how to activate your international health insurance coverage. | Discover how to enroll in international health insurance as a non-resident of Canada or as a new permanent resident.,Discover who is covered under the International Health Insurance (IHI). | Discover how to activate your international health insurance coverage.,,Discover who is covered under the International Health Insurance (IHI).,enriched,2026-06-21T01:44:40+00:00,f0ad7a40aa71e300a1c63f8a1e4b814cf1dc0a8fdc6468f32fddbfec2f34db5d
candidate-6dbee08280a519a0dd2b,Québec Family Doctor Finder (GAMF),health_care,Healthcare access,Healthcare access: Québec Family Doctor Finder (GAMF).,Newcomer students in Quebec who need official public healthcare access information.,Registering with a family doctor or a specialized nurse practitioner in primary care,Review the official Gouvernement du Québec source page for Québec Family Doctor Finder (GAMF).,"The navigator does not diagnose, triage symptoms, or confirm service availability; for emergencies call 911 or go to an emergency department.",https://www.quebec.ca/en/health/finding-a-resource/quebec-family-doctor-finder,Registering with a family doctor or a specialized nurse practitioner in primary care,Gouvernement du Québec,https://www.quebec.ca/en/copyright,2026-06-12T18:41:26+00:00,6dbee08280a519a0dd2b,2026-06-19,curated_for_directory_milestone,"Since April 15, 2024, specialized nurse practitioners in primary care who work in SNP clinics can directly care for people who do not have a family doctor and who are registered on the Québec Family Doctor Finder.","You can also look for a family doctor or a SNPPC in a public specialized nurse practitioner clinic yourself. To learn more, see the page Registering with a family doctor or a specialized nurse practitioner in primary care . Contact: Phone: 819-855-2744","To put your name on the waiting list to find a family doctor using the Québec Family Doctor Finder (GAMF), you must meet the following eligibility criteria: | You must be 14 years of age or over. If you are under 14 years of age, someone else who is 14 years of age or over must put your name on the waiting list on your behalf.","You can also look for a family doctor or a SNPPC in a public specialized nurse practitioner clinic yourself. To learn more, see the page Registering with a family doctor or a specialized nurse practitioner in primary care . | You must not already be registered with a family doctor or a SNPPC. However, if your doctor or your SNPPC can no longer see you or if you wish to change doctor or SNPPC, see the section Registering to the waiting list to find a family doctor of the page Registering with a family doctor or a speciali","Service in English is reserved for individuals covered by the exceptions stipulated in the Charter of the French language . If you have navigated to this content, you confirm in good faith that you are such an individual.","Phone: 819-855-2744 | Direct: tel:+18199642905, tel:+18198552744","Since April 15, 2024, specialized nurse practitioners in primary care who work in SNP clinics can directly care for people who do not have a family doctor and who are registered on the Québec Family Doctor Finder.",enriched,2026-06-21T01:44:40+00:00,939cd934be80774011c3318f7480685f7f80270be903821a7358a4045863d41a
candidate-753e73fc1ceab0638250,Career Planning Service - Macdonald Campus,work_career,Work and career support,Work and career support: Career Planning Service - Macdonald Campus.,"McGill newcomer, international, exchange, and current students as applicable.",Career Planning Service - Macdonald Campus,Review the official McGill University source page for Career Planning Service - Macdonald Campus.,The navigator does not determine work authorization or job eligibility; confirm requirements with official McGill or government sources.,https://www.mcgill.ca/caps/,Career Planning Service (CaPS),McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:01+00:00,753e73fc1ceab0638250,2026-06-19,curated_for_directory_milestone,"The Career Planning Service (CaPS), McGill’s central career services, supports student career and leadership development through career counselling and advising, skills development workshops, experiential learning, career exploration programs, mentoring, and career and networking events. CaPS provides and oversees a wide variety of resources and tools to help students search for part-time and summ","CaPS offers drop‑in career advising in person and online, providing quick access to an advisor when regular appointments are fully booked. Contact: Direct: mailto:careers.caps@mcgill.ca",,"CaPS offers drop‑in career advising in person and online, providing quick access to an advisor when regular appointments are fully booked. | Drop‑in appointments are offered on a first‑come, first‑served basis until all available time slots are filled.",,Direct: mailto:careers.caps@mcgill.ca,"The Career Planning Service (CaPS), McGill’s central career services, supports student career and leadership development through career counselling and advising, skills development workshops, experiential learning, career exploration programs, mentoring, and career and networking events. CaPS provid",enriched,2026-06-21T01:44:41+00:00,49e76327f451d9d31d258ee356a44ce952cb0b31a466bed6b3d1c1dcd8d160e3
